Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дутка,Макар,Іванович,чоловік,1966-03-01,Візажист,селище Новгород-Сіверський,"узвіз Валіховський, буд. 49 кв. 8, Первомайський , 34636",025 413 60 34,anzhelaiermolenko@example.net
Шахрай,Данна,Георгіївна,жінка,1980-09-07,Реставратор,місто Часів Яр,"вулиця Локомотивний 1-й, буд. 7, Баштанка, 24512",+380 87 156-84-67,iustymiarema@example.net
Шеремета,Устим,Олегович,чоловік,2005-05-11,Ювелір,місто Городня,"набережна Полуничний, буд. 5, Луцьк, 97147",670-49-88,ntovstukha@example.net
Верховинець,Орися,Амвросійовна,жінка,1996-05-18,Швачка,селище Білопілля,"узвіз Сонячна, буд. 23 кв. 3, Новий Калинів, 08982",012-14-34,datsiukmartyn@example.net
Медведенко,Юстина,Юхимівна,жінка,1962-08-20,Різноробочий,хутір Ужгород,"узвіз Світанку, буд. 7 кв. 613, Лубни, 21354",039 757 91 60,adam83@example.org
Батіг,Володимир,Азарович,чоловік,1987-12-06,Електротехнік,хутір Київ,"вулиця Гвоздичний, буд. 476, Болград, 84884",+380 26 452-65-65,ivashchenkohennadii@example.org
Корпанюк,Демид,Зиновійович,чоловік,1996-12-04,Антрополог,село Бердичів,"площа Теліги Олени, буд. 45, Сколе, 85317",+380 78 710-60-00,anzhela78@example.com
Чумак,Соломон,Павлович,чоловік,2006-08-21,Професор,селище Зоринськ,"сквер Гвоздичний, буд. 934, Рудки, 17883",+380 20 553 22 65,myroslavizhakevych@example.net
Гузь,Софія,Данівна,жінка,1977-01-13,Мистецтвознавець,селище Стрий,"парк Стражеска Миколи, буд. 787, Зборів, 89535",+380 00 904 96 36,deriazhnyinestor@example.com
Дрозд,Ілля,Миронович,чоловік,1989-09-24,Бібліотекар,місто Луцьк,"проспект Компасний, буд. 65 кв. 721, Гірник , 68144",338-49-22,feofan55@example.net
Затовканюк,Марина,Адамівна,жінка,1960-04-08,Кінорежисер,селище Міусинськ,"шосе Академіка Глушка, буд. 132, Немирів, 61372",+380 81 342-69-80,davyd07@example.com
Затула,Орест,Варфоломійович,чоловік,1962-12-09,Інженер,місто Рахів,"проспект Градоначальницька, буд. 952 кв. 47, Лебедин, 92036",038 961-25-44,zakhar94@example.com
Власюк,Євген,Григорійович,чоловік,1989-06-09,Ветеринар,хутір Вільнянськ,"проспект Флотський 1-й, буд. 4 кв. 91, Ужгород, 32193",+380 79 160-08-02,marko05@example.net
Цушко,Тетяна,Михайлівна,жінка,1967-08-25,Астронавт,село Генічеськ,"парк Лазурний 2-й, буд. 4 кв. 315, Шепетівка, 51951",+380 41 536-87-59,iaroslava74@example.org
Рудик,Лілія,Данівна,жінка,2006-01-29,Графік,селище Гірське,"узвіз Лазурний 6-й, буд. 334 кв. 3, Макіївка, 94573",067 538 42 91,ielysaveta88@example.org
Зінченко,Юхим,Орестович,чоловік,1963-03-05,Ґрунтознавець,селище Новоселиця,"проспект Панаса Мирного, буд. 13 кв. 3, Чигирин, 80705",+380 76 599-92-94,les61@example.net
Батіг,Христина,Варфоломіївна,жінка,2006-11-15,Архітектор,село Дубровиця,"набережна Тимірязєва, буд. 355, Авдіївка, 58323",+380 (57) 355-59-80,hshchors@example.com
Рак,Златослава,Вадимівна,жінка,1999-07-20,Етнограф,селище Білозерське,"вулиця Чехова, буд. 00 кв. 780, Кальміуське, 10869",282 39 32,labaoksana@example.com
Вакарчук,Людмила,Пантелеймонівна,жінка,1956-12-06,Антрополог,селище Рогатин,"провулок Ширшова, буд. 896 кв. 99, Новгород-Сіверський, 84841",+380 (77) 892-03-56,viktorfartushniak@example.com
Іващенко,Веніямин,Русланович,чоловік,1994-03-02,Швачка,селище Судова Вишня,"шосе Конструкторський, буд. 94 кв. 70, Ромни, 02707",679-87-30,shvedchenkoadam@example.org
Жайворон,Арсен,Богданович,чоловік,1965-09-07,Модель,селище Дубляни,"провулок Штурманська, буд. 164 кв. 747, Вижниця, 26355",029 944 23 86,adanalyvaiko@example.org
Єфименко,Гордій,Адамович,чоловік,1998-01-16,Мовознавець,місто Карлівка,"узвіз Михайлівська, буд. 04, Берегове, 90337",826 55 59,jzarudna@example.com
Жайворон,Онисим,Венедиктович,чоловік,1970-07-01,Мистецтвознавець,місто Ялта,"проспект Восьмого березня 6-й, буд. 1 кв. 606, Марганець , 10650",576-95-32,iurchyshynsolomiia@example.com
Павлик,Омелян,Варфоломійович,чоловік,2006-01-21,Електрослюсар,село Щолкіне,"провулок Алмазна, буд. 7 кв. 36, Молодогвардійськ, 44768",003 527 26 89,lhodunok@example.org
Вакуленко,Панас,Станіславович,чоловік,1987-07-10,Головний меркшейдер,хутір Ровеньки,"шосе Севастопольський, буд. 46 кв. 2, Іловайськ, 96681",+380 20 746-10-26,pavlenkofeofan@example.net
Шаблій,Соломон,Олесьович,чоловік,2005-03-15,Промисловець,село Андрушівка,"вулиця Лінія 45-та, буд. 6, Кам'янка (Черкаська область), 13149",+380 89 972 84 82,atroshchenkoolena@example.net
Шаповал,Маруся,Іллівна,жінка,1947-07-16,Єгер,село Тульчин,"парк Геранієва, буд. 6, Городок, 66943",067 952 95 02,mmazur@example.org
Тригуб,Марина,Леонтіївна,жінка,1984-06-10,Ґрунтознавець,село Тараща,"сквер 3-тя Суворовська, буд. 738 кв. 6, Стрий, 31767",478-94-05,slevchenko@example.com
Перепелиця,Наталія,Ростиславівна,жінка,1982-08-02,М'ясник,село Голубівка,"узвіз Наявний 3-й, буд. 950, Корсунь-Шевченківський, 47105",+380 46 111-93-06,sviatoslava75@example.com
Романенко,Анжела,Святославівна,жінка,1970-03-24,Льотчик,селище Кривий Ріг,"вулиця 1-ша Лінія Марії Демченко, буд. 215 кв. 47, Ясинувата, 82767",+380 12 509-76-23,vlasenkovenedykt@example.org
Тихий,Валерій,Омелянович,чоловік,1958-10-07,Електротехнік,місто Виноградів,"площа Лиманчик 2-й Лінія 8-ма, буд. 622 кв. 9, Щастя , 77438",538 34 88,telychenkovitalii@example.net
Проценко,Едита,Леонідівна,жінка,1971-09-28,Дизайнер,селище Ровеньки,"вулиця Лінія 52-га, буд. 6, Носівка, 02857",014 549-19-13,orysiakhrystenko@example.net
Тичина,Валерій,Петрович,чоловік,1969-04-25,Круп'є,місто Люботин,"площа Восьмого березня, буд. 267 кв. 160, Яремче, 54479",+380 66 047 57 35,fdubenko@example.org
Литвин,Емілія,Лукʼянівна,жінка,2000-05-10,Географ,хутір Золоте,"набережна Гранатна, буд. 714 кв. 160, Сміла, 42429",124-37-60,hutsuliakanastasiia@example.net
Заруба,Прохір,Ігнатович,чоловік,1978-03-13,Кухар,хутір Родинське,"сквер Лінія 43-тя, буд. 220 кв. 175, Боково-Хрустальне, 92764",320 78 21,mykytabatiuk@example.com
Христенко,Володимира,Владиславівна,жінка,1967-09-22,Музикант,селище Остер ,"шосе Молодогвардійська, буд. 9 кв. 73, Охтирка, 42630",879-85-62,tartiukh@example.com
Гайдабура,Валентина,Богуславівна,жінка,1989-04-16,Акушер,селище Малин,"провулок Капітана Кузнецова, буд. 780 кв. 4, Балаклія, 16986",634-04-69,erikatychyna@example.com
Лемешко,Борис,Петрович,чоловік,1972-09-29,Єгер,хутір Київ,"сквер Каркашадзе, буд. 9, Шумськ, 24946",032 051 07 21,riarema@example.com
Запорожець,Варфоломій,Георгійович,чоловік,1964-12-23,Петрограф,хутір Олешки,"площа Шухевича Романа, буд. 169 кв. 4, Корсунь-Шевченківський, 33602",+380 35 137 11 20,illia27@example.com
